Awrey Randy, Kentucky Wesleyan, hc, [1990, 1994],,,
Awrey Randy, Lakeland (WI), hc, [1994, 1999],,,
Awrey Randy, Saginaw Valley State, hc, [1999, 2007],,,
Axman Steve, MacArthur HS (NY), hc, [1973, 1973],,,
Axman Steve, East Stroudsburg (DL), dl, [1974, 1974],,,
Axman Steve, Albany State (OL), ol, [1975, 1975],,,
Axman Steve, Army (assistant), ga, [1976, 1978],,,
Axman Steve, Illinois (assistant), ga, [1979, 1979],,,
Axman Steve, Arizona (OC/QB), oc, [1980, 1984],,,
Axman Steve, Denver Gold (OL), ol, [1985, 1985],,,
Axman Steve, Stanford (OL), ol, [1986, 1986],,,
Axman Steve, UCLA (OC/QB), oc, [1987, 1987],,,
Axman Steve, UCLA (OC/OL), oc, [1988, 1988],,,
Axman Steve, Maryland (QB), qb, [1989, 1989],,,
Axman Steve, Northern Arizona, hc, [1990, 1997],,,
Axman Steve, Minnesota (QB), qb, [1998, 1998],,,
Axman Steve, Washington (QB), qb, [1999, 2000],,,
Axman Steve, Washington (AHC/QB), hc, [2001, 2002],,,
Axman Steve, UCLA (OC/QB), oc, [2003, 2003],,,
Axman Steve, Washington (WR), wr, [2004, 2004],,,
Axman Steve, Montana (QB), qb, [2006, 2006],,,
Axman Steve, Idaho (OC/TE), oc, [2007, 2009],,,
Axman Steve, Idaho (OC/QB), oc, [2010, 2011],,,
Axman Steve, Simon Fraser (QB), qb, [2013, 2013],,,
Axman Steve, Nicholls State (interim), hc, [2014, -1],,,
Ayers Mike, Georgetown (KY) (assistant), ga, [1974, 1974],,,
Ayers Mike, Georgetown (KY) (DC), dc, [1975, 1975],,,
Ayers Mike, Newberry (assistant), ga, [1976, 1978],,,
Ayers Mike, Richmond (assistant), ga, [1979, 1979],,,
Ayers Mike, Wofford (assistant), ga, [1980, 1982],,,
Ayers Mike, East Tennessee State (DC), dc, [1983, 1984],,,
Ayers Mike, East Tennessee State, hc, [1985, 1987],,,
Ayers Mike, Wofford, hc, [1988, -1],,,
Babers Dino, Hawaii (GA), ga, [1984, 1984],,,
Babers Dino, Arizona State (GA), ga, [1985, 1985],,,
Babers Dino, Eastern Illinois (RB), rb, [1987, 1987],,,
Babers Dino, UNLV (ST/RB), st, [1988, 1989],,,
Babers Dino, Northern Arizona (ST), st, [1990, 1990],,,
Babers Dino, Purdue (WR), wr, [1991, 1993],,,
Babers Dino, San Diego State (WR), wr, [1994, 1994],,,
Babers Dino, Arizona (WR/RB/QB), wr, [1995, 1997],,,
Babers Dino, Arizona (OC/QB), oc, [1998, 2000],,,
Babers Dino, Texas A&M (OC/QB), oc, [2001, 2002],,,
Babers Dino, Pittsburgh (RB), rb, [2003, 2003],,,
Babers Dino, UCLA (asst. HC/RB/QB), hc, [2004, 2007],,,
Babers Dino, Baylor (WR), wr, [2008, 2008],,,
Babers Dino, Baylor (ST/WR), st, [2009, 2011],,,
Babers Dino, Eastern Illinois, hc, [2012, 2013],,,
Babers Dino, Bowling Green, hc, [2014, -1],,,
Babich Bob, Tulsa (GA), ga, [1984, 1984],,,
Babich Bob, Tulsa (OL/TE/S), ol, [1985, 1987],,,
Babich Bob, Wisconsin (OL), ol, [1988, 1989],,,
Babich Bob, Tulsa (volunteer OL), hc, [1990, 1990],,,
Babich Bob, Bowling Green (ILB), hc, [1991, 1991],,,
Babich Bob, East Carolina (ILB), hc, [1992, 1993],,,
Babich Bob, Pittsburgh (LB), lb, [1994, 1995],,,
Babich Bob, Pittsburgh (LB/ST), lb, [1996, 1996],,,
Babich Bob, North Dakota State, hc, [1997, 2002],,,
Babich Bob, St. Louis Rams (LB), lb, [2003, 2003],,,
Babich Bob, Chicago Bears (LB), lb, [2004, 2005],,,
Babich Bob, Chicago Bears (assistant HC/LB), ga, [2006, 2006],,,
Babich Bob, Chicago Bears (DC), dc, [2007, 2008],,,
Babich Bob, Chicago Bears (DC/LB), dc, [2009, 2009],,,
Babich Bob, Chicago Bears (LB), lb, [2010, 2012],,,
Babich Bob, Jacksonville Jaguars (DC), dc, [2013, -1],,,
Baer Kent, Yokosuka Seahawks, hc, [1973, 1976],,,
Bagnoli Al, Albany (GA), ga, [1975, 1975],,,
Bagnoli Al, Albany (DC), dc, [1976, 1977],,,
Bagnoli Al, Union (DC), dc, [1978, 1981],,,
Bagnoli Al, Union, hc, [1982, 1991],,,
Bagnoli Al, Penn, hc, [1992, -1],,,
Bailey Carey, West Virginia (GA), ga, [1993, 1994],,,
Bailey Carey, VMI (DE), dl, [1995, 1997],,,
Bailey Carey, LouisianaLafayette (LB), lb, [1998, 1998],,,
Bailey Carey, LouisianaLafayette (DT), dl, [1999, 2002],,,
Bailey Carey, Middle Tennessee (DL), dl, [2003, 2003],,,
Bailey Carey, Oklahoma State (DL), dl, [2004, 2004],,,
Bailey Carey, Minnesota (DL), dl, [2005, 2006],,,
Bailey Carey, Howard (HC), hc, [2007, 2010],,,
Bailey Carey, Lamar (DL), dl, [2012, 2013],,,
Bailey Carey, Lamar (AHC DL ST), hc, [2014, 2014],,,
Bailey Carey, Atlanta Falcons (LB Intern), lb, [2012, -1],,,
Bailey Charlie, Poca HS (WV) (assistant), ga, [1962, 1962],,,
Bailey Charlie, Brandon HS (FL) (assistant), ga, [1963, 1963],,,
Bailey Charlie, Tampa (assistant), ga, [1964, 1970],,,
Bailey Charlie, Miami (FL) (assistant), ga, [1971, 1971],,,
Bailey Charlie, Rice (assistant), ga, [1972, 1974],,,
Bailey Charlie, Kentucky (assistant), ga, [1975, 1981],,,
Bailey Charlie, Pittsburgh (DC), dc, [1982, 1982],,,
Bailey Charlie, Tampa Bay Bandits (AHC/DC), hc, [1983, 1984],,,
Bailey Charlie, Florida (DC/ILB), dc, [1985, 1985],,,
Bailey Charlie, Memphis State, hc, [1986, 1988],,,
Bailey Charlie, UTEP (DC), dc, [1990, 1991],,,
Bailey Charlie, Orlando Thunder (DC/LB), dc, [1992, 1992],,,
Bailey Charlie, UTEP (DC), dc, [1993, 1993],,,
Bailey Charlie, UTEP, hc, [1993, 1999],,,
Bailey Charlie, Orlando Rage (DC/LB), dc, [2001, -1],,,
Bailey Willard, Virginia Union, hc, [1971, 1983],,,
Bailey Willard, Norfolk State, hc, [1984, 1992],,,
Bailey Willard, Virginia Union, hc, [1995, 2003],,,
Bailiff David, New Braunfels HS (DL), dl, [1982, 1984],,,
Bailiff David, Southwest Texas State (GA), ga, [1988, 1988],,,
Bailiff David, Southwest Texas State (DL), dl, [1989, 1991],,,
Bailiff David, New Mexico (DL), dl, [1992, 1996],,,
Bailiff David, Southwest Texas State (DC), dc, [1997, 2000],,,
Bailiff David, TCU (DC), dc, [2001, 2003],,,
Bailiff David, Texas State, hc, [2004, 2006],,,
Bailiff David, Rice, hc, [2007, -1],,,
Baker Art, Clemson (RB), rb, [1965, 1969],,,
Baker Art, Texas Tech (assistant), ga, [1970, 1972],,,
Baker Art, Furman, hc, [1973, 1977],,,
Baker Art, The Citadel, hc, [1978, 1982],,,
Baker Art, East Carolina (assistant), ga, [1983, 1983],,,
Baker Art, Florida State (QB), qb, [1984, 1984],,,
Baker Art, East Carolina, hc, [1985, 1988],,,
Baker Ed, Kalamazoo, hc, [1967, 1983],,,
Baker Ed, Kalamazoo, hc, [1988, 1989],,,
Baker Gregg, Faulkner, hc, [2009, 2011],,,
Baldwin Beau, Central Washington (QB), qb, [1994, 2002],,,
Baldwin Beau, Eastern Washington (OC/QB), oc, [2003, 2006],,,
Baldwin Beau, Central Washington, hc, [2007, 2007],,,
Baldwin Beau, Eastern Washington, hc, [2008, -1],,,
Baldwin Dave, Granada Hills HS (AC), hc, [1978, 1978],,,
Baldwin Dave, Cal State Northridge (GA), ga, [1979, 1980],,,
Baldwin Dave, San Jose State (WR), wr, [1981, 1984],,,
Baldwin Dave, Stanford (WR), wr, [1985, 1988],,,
Baldwin Dave, Santa Barbara JC, hc, [1990, 1993],,,
Baldwin Dave, Santa Rosa JC, hc, [1994, 1994],,,
Baldwin Dave, Cal State Northridge, hc, [1995, 1996],,,
Baldwin Dave, San Jose State, hc, [1997, 2000],,,
Baldwin Dave, Cincinnati (OC), oc, [2001, 2001],,,
Baldwin Dave, Baylor (OC/QB), oc, [2002, 2002],,,
Baldwin Dave, Michigan State (OC/TE), oc, [2003, 2006],,,
Baldwin Dave, New Mexico (OC/QB), oc, [2007, 2008],,,
Baldwin Dave, Utah State (OC), oc, [2009, 2011],,,
Baldwin Dave, Colorado State (OC), oc, [2012, -1],,,
Ball Randy, Western Illinois, hc, [1990, 1998],,,
Ball Randy, Missouri State, hc, [1999, 2005],,,
Ballard Matt, GardnerWebb (Ast.), hc, [1979, 1979],,,
Ballard Matt, Georgetown College (OC/DC), oc, [1980, 1983],,,
Ballard Matt, Morehead State (Ast. HC/DC), hc, [1984, 1987],,,
Ballard Matt, Union College (KY), hc, [1988, 1994],,,
Ballard Matt, Morehead State, hc, [1994, 2012],,,
Barbier Darren, Archbishop Shaw HS (LA) (assistant), ga, [1983, 1988],,,
Barbier Darren, Hahnville HS (LA), hc, [1989, 1994],,,
Barbier Darren, Nicholls State, hc, [1995, 1998],,,
Barbier Darren, Tulane (LB), lb, [1999, 2000],,,
Barkum Jerome, Stats at NFL.com, hc, [-1, -1],,,
Barlow George, Marshall (GA), ga, [1991, 1991],,,
Barlow George, Marshall (LB), lb, [1992, 1993],,,
Barlow George, Hutchinson C. C. (DL), dl, [1994, 1994],,,
Barlow George, West Virginia State (DC), dc, [1995, 1995],,,
Barlow George, Oklahoma (GA), ga, [1996, 1997],,,
Barlow George, Oklahoma (LB), lb, [1998, 1998],,,
Barlow George, James Madison (RB), rb, [1999, 2001],,,
Barlow George, James Madison (DL), dl, [2002, 2003],,,
Barlow George, James Madison (DC), dc, [2004, 2008],,,
Barlow George, New Mexico (DB), db, [2009, 2010],,,
