Kragthorpe Dave, South Dakota State, hc, [1969, 1969]
Kragthorpe Dave, BYU (OC/OL), hc, [1970, 1975]
Kragthorpe Dave, BYU (OL), hc, [1976, 1979]
Kragthorpe Dave, Idaho State, hc, [1980, 1982]
Kragthorpe Dave, Oregon State, hc, [1985, 1990]
Kragthorpe Dave, New Mexico (OL), hc, [1991, -1]
Kragthorpe Steve, Northern Arizona (QB), qb, [1990, 1991]
Kragthorpe Steve, Northern Arizona (OC), oc, [1992, 1993]
Kragthorpe Steve, North Texas (OC), oc, [1994, 1995]
Kragthorpe Steve, Boston College (QB), qb, [1996, 1996]
Kragthorpe Steve, Texas A&M (QB), qb, [1997, 1997]
Kragthorpe Steve, Texas A&M (OC), oc, [1998, 2000]
Kragthorpe Steve, Buffalo Bills (QB), qb, [2001, 2002]
Kragthorpe Steve, Tulsa, hc, [2003, 2006]
Kragthorpe Steve, Louisville, hc, [2007, 2009]
Kragthorpe Steve, Texas A&M (WR), wr, [2010, 2010]
Kragthorpe Steve, LSU (QB), qb, [2011, 2012]
Kramer Larry, McCook JC, hc, [1966, 1970]
Kramer Larry, Southern Oregon, hc, [1970, 1972]
Kramer Larry, Austin, hc, [1973, 1982]
Kramer Larry, Emporia State, hc, [1983, 1994]
Kramer Larry, Kansas State (assistant), hc, [1995, 1997]
Kramer Mike, Colton HS (WA) (assistant), ga, [1976, 1976]
Kramer Mike, Helena HS (MT) (assistant), ga, [1977, 1979]
Kramer Mike, Helena HS (MT), hc, [1980, 1982]
Kramer Mike, Montana State (DL), dl, [1983, 1984]
Kramer Mike, Montana State (DC), dc, [1985, 1986]
Kramer Mike, Stadium HS (WA), hc, [1987, 1988]
Kramer Mike, Eastern Washington (DL), dl, [1989, 1993]
Kramer Mike, Eastern Washington, hc, [1994, 1999]
Kramer Mike, Montana State, hc, [2000, 2006]
Kramer Mike, Washington State (assistant), ga, [2010, 2010]
Kramer Mike, Idaho State, hc, [2011, -1]
Kratzer Dan, Missouri Valley (assistant), ga, [1974, 1974]
Kratzer Dan, Kearney HS (MO) (assistant), ga, [1975, 1975]
Kratzer Dan, Trenton HS (MO), hc, [1976, 1977]
Kratzer Dan, Lee's Summit HS (MO), hc, [1978, 1982]
Kratzer Dan, Indiana (assistant), ga, [1983, 1983]
Kratzer Dan, Ohio Northern, hc, [1984, 1985]
Kratzer Dan, Miami (OH) (assistant), ga, [1986, 1986]
Kratzer Dan, Richmond HS (MO), hc, [1987, 1987]
Kratzer Dan, Missouri Valley (OC), oc, [1988, 1989]
Kratzer Dan, Hastings, hc, [1990, 1994]
Kratzer Dan, Lindenwood, hc, [1995, 2000]
Kratzer Dan, Kent State (assistant), ga, [2001, 2004]
Kratzer Dan, South Dakota Mines, hc, [2005, 2011]
Kreps Dean, Illinois (GA), ga, [1984, 1985]
Kreps Dean, Hope (DL), dl, [1986, 1990]
Kreps Dean, Hope (DC), dc, [1991, 1994]
Kreps Dean, Hope, hc, [1995, 2012]
Krivak Joe, Madonna HS (assistant), ga, [1958, 1960]
Krivak Joe, Madonna HS, hc, [1961, 1968]
Krivak Joe, Syracuse (WR), wr, [1969, 1973]
Krivak Joe, Maryland (assistant), ga, [1974, 1976]
Krivak Joe, Navy (assistant), ga, [1977, 1981]
Krivak Joe, Maryland (QB/WR), qb, [1982, 1986]
Krivak Joe, Maryland, hc, [1987, 1991]
Krivak Joe, Virginia (QB), qb, [1995, 1996]
Kruczek Mike, Florida State University (19821983), hc, [1982, 1983]
Kruczek Mike, (Quarterbacks Coach), qb, [-1, -1]
Kruczek Mike, Jacksonville Bulls (1984), hc, [1984, 1984]
Kruczek Mike, (Quarterbacks Coach), qb, [-1, -1]
Kruczek Mike, University of Central Florida (19851997), hc, [1985, 1997]
Kruczek Mike, (Offensive Coordinator/Quarterbacks Coach), oc, [-1, -1]
Kruczek Mike, University of Central Florida (19982003), hc, [1998, 2003]
Kruczek Mike, (Head Coach), hc, [-1, -1]
Kruczek Mike, Arizona Cardinals (20042006), hc, [2004, 2006]
Kruczek Mike, (Quarterbacks Coach), qb, [-1, -1]
Kruczek Mike, Arizona Cardinals (2006), hc, [2006, -1]
Kruczek Mike, (Offensive Coordinator), oc, [-1, -1]
Kruczek Mike, California Redwoods (2009), hc, [2009, -1]
Kruczek Mike, (Offensive Coordinator), oc, [-1, -1]
Kruczek Mike, Sacramento Mountain Lions (20102011), hc, [2010, 2011]
Kruczek Mike, (Offensive Coordinator/Quarterbacks Coach), oc, [-1, -1]
Kruczek Mike, UMass Minutemen (2012), hc, [2012, -1]
Kruczek Mike, (Offensive Coordinator/Quarterbacks Coach), oc, [-1, -1]
Kruczek Mike, Trinity Prep (2013-present), hc, [2013, -1]
Kruczek Mike, (Head Coach), hc, [-1, -1]
Krzykowski Mark, Carroll (DC), dc, [2006, 2007]
Krzykowski Mark, Carroll (AHC/DC), hc, [2008, 2010]
Krzykowski Mark, Carroll, hc, [2011, -1]
Kugler Sean, Tampa Bay (FL) Tech HS (OL/DL), ol, [1990, 1991]
Kugler Sean, Gaither (FL) HS (OL), ol, [1992, 1992]
Kugler Sean, UTEP (GA), ga, [1993, 1993]
Kugler Sean, UTEP (TE), hc, [1994, 1994]
Kugler Sean, UTEP (OL), ol, [1995, 2000]
Kugler Sean, Detroit Lions (TE), hc, [2001, 2003]
Kugler Sean, Detroit Lions (asst. OL/TE), hc, [2004, 2005]
Kugler Sean, Boise State (AHC/OL), hc, [2006, 2006]
Kugler Sean, Buffalo Bills (asst. OL), hc, [2007, 2007]
Kugler Sean, Buffalo Bills (OL), ol, [2008, 2009]
Kugler Sean, Pittsburgh Steelers (OL), ol, [2010, 2012]
Kugler Sean, UTEP, hc, [2013, -1]
Labadie Ron, Marshall HS (MI), hc, [1974, 1981]
Labadie Ron, Adrian, hc, [1982, 1989]
Lacewell Larry, Alabama (GA), ga, [1959, 1959]
Lacewell Larry, Arkansas State (assistant), ga, [1960, 1961]
Lacewell Larry, Kilgore JC (assistant), ga, [1965, 1965]
Lacewell Larry, Oklahoma (freshmen), hc, [1966, 1966]
Lacewell Larry, Wichita State (assistant), ga, [1967, 1967]
Lacewell Larry, Iowa State (def. assistant), dl, [1968, 1968]
Lacewell Larry, Oklahoma (DE), dl, [1969, 1969]
Lacewell Larry, Oklahoma (DC), dc, [1970, 1972]
Lacewell Larry, Oklahoma (AHC/DC), hc, [1973, 1977]
Lacewell Larry, Arkansas State (volunteer), hc, [1978, 1978]
Lacewell Larry, Arkansas State, hc, [1979, 1989]
Lacewell Larry, Tennessee (DC), dc, [1990, 1991]
Lacey Bill, Wagner (OC), oc, [1995, 1995]
Lacey Bill, Bates (OL), ol, [1996, 1996]
Lacey Bill, Wagner (OL), ol, [1997, 1999]
Lacey Bill, Sacred Heart (assistant), ga, [2000, 2001]
Lacey Bill, Sacred Heart, hc, [2002, 2003]
Lacey Bill, Villanova (TE), hc, [2004, -1]
Lackner Rich, Carnegie Mellon (assistant), ga, [1979, 1985]
Lackner Rich, Carnegie Mellon, hc, [1986, -1]
Lamb Bobby, Furman (assistant), ga, [1986, 2001]
Lamb Bobby, Furman, hc, [2002, 2010]
Lamb Bobby, Mercer, hc, [2013, -1]
Lamb Ed, Redlands (DL), dl, [1997, 1997]
Lamb Ed, Redlands (DC), dc, [1998, 2000]
Lamb Ed, BYU (GA), ga, [2001, 2001]
Lamb Ed, Idaho (DC), dc, [2002, 2003]
Lamb Ed, San Diego (STC/DS), st, [2005, 2007]
Lamb Ed, San Diego (STC/DS/RC), st, [2007, 2007]
Lamb Ed, Southern Utah, hc, [2008, -1]
Lambert Andy, Trinity International, hc, [1997, 2003]
Lambert Andy, Sterling, hc, [2004, 2012]
Lambert Brad, Oklahoma (GA), ga, [1988, 1989]
Lambert Brad, Marshall (AC), hc, [1990, 1995]
Lambert Brad, Georgia (AC), hc, [1996, 2000]
Lambert Brad, Wake Forest (AC)(DC), dc, [2001, 2010]
Lambert Brad, Charlotte, hc, [2011, -1]
Lambright Jim, Fife HS (WA) (assistant), ga, [1965, 1965]
Lambright Jim, Shoreline CC (assistant), ga, [1966, 1968]
Lambright Jim, Washington (assistant), ga, [1969, 1976]
Lambright Jim, Washington (DC), dc, [1977, 1992]
Lambright Jim, Washington, hc, [1993, 1998]
Landis Tim, RandolphMacon (WR), wr, [1986, 1987]
Landis Tim, Morrisville HS, hc, [1988, 1990]
Landis Tim, Davidson (DL), dl, [1991, 1992]
Landis Tim, Davidson, hc, [1993, 1999]
Landis Tim, Saint Mary's (CA), hc, [2000, 2002]
Landis Tim, Bucknell, hc, [2003, 2009]
Landis Tim, San Jose State (OC/TE), oc, [2010, 2010]
Landis Tim, RPI, hc, [2011, 2011]
Landis Tim, Lycoming (TE), hc, [2013, 2013]
Landis Tim, Lycoming (QB/ST), qb, [2014, -1]
Lantz Rick, New England Patriots (LB), lb, [1981, 1981]
Lantz Rick, Georgia Tech (DC), dc, [1982, 1983]
Lantz Rick, Notre Dame (DL), dl, [1984, 1985]
Lantz Rick, Louisville (DC/LB), dc, [1986, 1990]
Lantz Rick, Virginia (DC), dc, [1991, 2000]
Lantz Rick, Navy (DC/LB), dc, [2001, 2001]
Lantz Rick, Navy, hc, [2001, 2001]
Lantz Rick, Barcelona Dragons (LB), lb, [2003, 2003]
Lantz Rick, Berlin Thunder, hc, [2004, 2006]
Lantz Rick, Rhein Fire, hc, [2007, 2007]
Lantz Rick, Omaha Nighthawks (DC/LB), dc, [2010, -1]
Lattimore Henry, Morgan State, hc, [1976, 1977]
Lattimore Henry, North Carolina Central, hc, [1979, 1990]
Lattimore Henry, Virginia Union, hc, [1993, 1994]
Laurendine Tommy, LenoirRhyne (assistant), ga, [1990, 1991]
Laurendine Tommy, West Georgia (GA), ga, [1991, 1994]
Laurendine Tommy, Northwest Whitfield HS (OC), oc, [1994, 1995]
Laurendine Tommy, Washington and Lee (OC), oc, [1995, 1997]
Laurendine Tommy, West Alabama (OC), oc, [1997, 2000]
Laurendine Tommy, Southern Arkansas (OC), oc, [2001, 2006]
Laurendine Tommy, Washington and Lee (OC), oc, [2007, 2007]
Laurendine Tommy, LenoirRhyne (OC), oc, [2008, 2009]
Laurendine Tommy, The Citadel (OC), oc, [2010, 2010]
Laurendine Tommy, Sewanee, hc, [2011, -1]
Lavan Alton Al, Colorado State (WR/TE), wr, [1972, 1972]
Lavan Alton Al, Louisville (assistant), ga, [1973, 1973]
Lavan Alton Al, Iowa State (assistant), ga, [1974, 1974]
Lavan Alton Al, Atlanta Falcons (assistant), ga, [1975, 1976]
Lavan Alton Al, Georgia Tech (WR), wr, [1977, 1977]
Lavan Alton Al, Georgia Tech (RB), rb, [1978, 1978]
Lavan Alton Al, Stanford (RB), rb, [1979, 1979]
Lavan Alton Al, Dallas Cowboys (RB), rb, [1980, 1988]
Lavan Alton Al, San Francisco 49ers (RB), rb, [1989, 1990]
Lavan Alton Al, Washington (RB), rb, [1991, 1995]
Lavan Alton Al, Baltimore Ravens (RB), rb, [1996, 1998]
Lavan Alton Al, Kansas City Chiefs (RB), rb, [1999, 2000]
Lavan Alton Al, Eastern Michigan (RB), rb, [2001, 2003]
Lavan Alton Al, Eastern Michigan (interim), hc, [2003, 2003]
Lavan Alton Al, Delaware State, hc, [2004, 2010]
