Hallman Curley, Texas A&M (DB), db, [1982, 1987]
Hallman Curley, Southern Miss, hc, [1988, 1990]
Hallman Curley, LSU, hc, [1991, 1994]
Hallman Curley, Muscle Shoals HS (AL), hc, [2004, 2007]
Hameline Walt, Wagner, hc, [1981, -1]
Hamilton Paul, The Citadel (WR), wr, [1981, 1981]
Hamilton Paul, East Tennessee State (WR), wr, [1983, 1983]
Hamilton Paul, East Tennessee State (QB), qb, [1984, 1987]
Hamilton Paul, Wofford (OC/QB), oc, [1988, 1989]
Hamilton Paul, Air Force (OC/WR), oc, [1990, 1996]
Hamilton Paul, East Tennessee State, hc, [1997, 2003]
Hamilton Paul, Elon, hc, [2004, 2005]
Hamilton Paul, Brevard, hc, [2007, -1]
Hand Jeff, Waynesburg (DL), dl, [1992, 1992]
Hand Jeff, Hanover (DL), dl, [1993, 1993]
Hand Jeff, Hanover (LB/ST), lb, [1994, 1997]
Hand Jeff, Benedictine (IL) (DC), dc, [1998, 1998]
Hand Jeff, Benedictine (IL), hc, [1999, 2000]
Hand Jeff, Waynesburg, hc, [2001, 2004]
Hand Jeff, Westminster (PA), hc, [2005, 2013]
Hand Jeff, Amiens Spartiates, hc, [2014, -1]
Hankwitz Mike, Michigan (GA), ga, [1970, 1972]
Hankwitz Mike, Arizona (assistant), ga, [1973, 1976]
Hankwitz Mike, Purdue (assistant), ga, [1977, 1981]
Hankwitz Mike, Western Michigan (DC), dc, [1982, 1984]
Hankwitz Mike, Colorado (DC), dc, [1985, 1994]
Hankwitz Mike, Kansas (DC), dc, [1995, 1996]
Hankwitz Mike, Texas A&M (DC), dc, [1997, 2002]
Hankwitz Mike, Arizona (DC/interim HC), dc, [2003, 2003]
Hankwitz Mike, Colorado (DC/interim HC), dc, [2004, 2005]
Hankwitz Mike, Wisconsin (DC), dc, [2006, 2007]
Hankwitz Mike, Northwestern (DC/S), dc, [2008, -1]
Harbaugh Jack, Eaton HS (OH), hc, [1964, 1965]
Harbaugh Jack, Xenia HS (OH), hc, [1966, 1966]
Harbaugh Jack, Morehead State (assistant), ga, [1967, 1967]
Harbaugh Jack, Bowling Green (assistant), ga, [1968, 1970]
Harbaugh Jack, Iowa (assistant), ga, [1971, 1973]
Harbaugh Jack, Michigan (DB), db, [1973, 1979]
Harbaugh Jack, Stanford (DC), dc, [1980, 1981]
Harbaugh Jack, Western Michigan, hc, [1982, 1986]
Harbaugh Jack, Pittsburgh (assistant), ga, [1987, 1988]
Harbaugh Jack, Western Kentucky, hc, [1989, 2002]
Harbaugh Jack, San Diego (RB), rb, [2004, 2006]
Harbaugh Jack, Stanford (RB), rb, [2009, -1]
Harbaugh Jim, WKU (NCAA FCS) (19942001) (unpaid asst.), ga, [1994, 2001]
Harbaugh Jim, Oakland Raiders (20022003) (QB), qb, [2002, 2003]
Harbaugh Jim, San Diego (NCAA FCS) (20042006), hc, [2004, 2006]
Harbaugh Jim, Stanford (NCAA FBS) (20072010), hc, [2007, 2010]
Harbaugh Jim, San Francisco 49ers (2011present), hc, [2011, -1]
Hardman Lee, Arkansas-Pine Bluff, hc, [1993, 2004]
Harkema Jim, Gull Lake HS (MI), hc, [1964, 1965]
Harkema Jim, Niles East HS (IL), hc, [1967, 1969]
Harkema Jim, Triton JC (IL), hc, [1970, 1971]
Harkema Jim, Northern Illinois (assistant), ga, [1972, 1972]
Harkema Jim, Grand Valley State, hc, [1973, 1982]
Harkema Jim, Eastern Michigan, hc, [1983, 1992]
Harms Ron, Adams State, hc, [1970, 1973]
Harms Ron, Texas A&I (OC), hc, [1974, 1975]
Harms Ron, Baylor (assistant), hc, [1976, 1978]
Harms Ron, Texas A&I, hc, [1979, 1999]
Harrell Gary Flea, Howard (WR), wr, [2002, 2003]
Harrell Gary Flea, Texas Southern (WR), wr, [2004, 2005]
Harrell Gary Flea, Florida A&M (WR), wr, [2006, 2007]
Harrell Gary Flea, Morgan State (QB), qb, [2008, 2008]
Harrell Gary Flea, Bowie State (OC), oc, [2009, 2010]
Harrell Gary Flea, Howard, hc, [2011, -1]
Harris Bishop, North Carolina Central, hc, [1991, 1992]
Harsin Bryan, Eastern Oregon (RB/WR), rb, [2000, 2000]
Harsin Bryan, Boise State (GA), ga, [2001, 2001]
Harsin Bryan, Boise State (TE), hc, [2002, 2005]
Harsin Bryan, Boise State (OC/QB), oc, [2006, 2010]
Harsin Bryan, Texas (Co-OC/QB), oc, [2011, 2012]
Harsin Bryan, Arkansas State, hc, [2013, 2013]
Harsin Bryan, Boise State, hc, [2014, -1]
Haslam Kevin, Wayne State College, hc, [1997, 1999]
Haslam Kevin, Saint Mary, hc, [2000, 2001]
Haslam Kevin, Eastern Arizona, hc, [2002, 2004]
Hatcher Chris, UCF (QB/TE), qb, [1996, 1996]
Hatcher Chris, Kentucky (GA), ga, [1997, 1998]
Hatcher Chris, Kentucky (QB/WR), qb, [1999, 1999]
Hatcher Chris, Valdosta State, hc, [2000, 2006]
Hatcher Chris, Georgia Southern, hc, [2007, 2009]
Hatcher Chris, Murray State, hc, [2010, -1]
Hatfield Ken, Tennessee (assistant freshmen), ga, [1968, 1968]
Hatfield Ken, Tennessee (freshmen), hc, [1969, 1969]
Hatfield Ken, Tennessee (WR), wr, [1970, 1970]
Hatfield Ken, Florida (assistant), ga, [1971, 1977]
Hatfield Ken, Air Force (OC), oc, [1978, 1978]
Hatfield Ken, Air Force, hc, [1979, 1983]
Hatfield Ken, Arkansas, hc, [1984, 1989]
Hatfield Ken, Clemson, hc, [1990, 1993]
Hatfield Ken, Rice, hc, [1994, 2005]
Hauck Bobby, Montana (DB/DL), db, [1988, 1989]
Hauck Bobby, UCLA (GA), ga, [1990, 1992]
Hauck Bobby, Northern Arizona (OLB), ol, [1993, 1994]
Hauck Bobby, Colorado (S/OLB/ST), hc, [1995, 1998]
Hauck Bobby, Washington (DB/ST), db, [1999, 2002]
Hauck Bobby, Montana, hc, [2003, 2009]
Hauck Bobby, UNLV, hc, [2010, -1]
Hawkins Dan, UC Davis (assistant), ga, [1983, 1985]
Hawkins Dan, Christian Brothers HS (CA), hc, [1986, 1987]
Hawkins Dan, Siskiyous CC (OC), oc, [1988, 1991]
Hawkins Dan, Sonoma State (DC), dc, [1992, 1992]
Hawkins Dan, Willamette, hc, [1993, 1997]
Hawkins Dan, Boise State (assistant), ga, [1998, 2000]
Hawkins Dan, Boise State, hc, [2001, 2005]
Hawkins Dan, Colorado, hc, [2006, 2010]
Hawkins Dan, Montreal Alouettes, hc, [2013, -1]
Hayes William Bill, Wake Forest (RB), rb, [1973, 1975]
Hayes William Bill, Winston-Salem State, hc, [1976, 1987]
Hayes William Bill, North Carolina A&T, hc, [1988, 2003]
Haynes Paul, St. Francis DeSales HS (asst.), hc, [1993, 1993]
Haynes Paul, Bowling Green (GA), ga, [1994, 1994]
Haynes Paul, Ferris State (DB), db, [1995, 1996]
Haynes Paul, Northern Iowa (RB), rb, [1997, 1997]
