Babers Dino, Baylor (ST/WR), st, [2009, 2011]
Babers Dino, Eastern Illinois, hc, [2012, 2013]
Babers Dino, Bowling Green, hc, [2014, -1]
Babich Bob, Tulsa (GA), ga, [1984, 1984]
Babich Bob, Tulsa (OL/TE/S), ol, [1985, 1987]
Babich Bob, Wisconsin (OL), ol, [1988, 1989]
Babich Bob, Tulsa (volunteer OL), hc, [1990, 1990]
Babich Bob, Bowling Green (ILB), hc, [1991, 1991]
Babich Bob, East Carolina (ILB), hc, [1992, 1993]
Babich Bob, Pittsburgh (LB), lb, [1994, 1995]
Babich Bob, Pittsburgh (LB/ST), lb, [1996, 1996]
Babich Bob, North Dakota State, hc, [1997, 2002]
Babich Bob, St. Louis Rams (LB), lb, [2003, 2003]
Babich Bob, Chicago Bears (LB), lb, [2004, 2005]
Babich Bob, Chicago Bears (assistant HC/LB), ga, [2006, 2006]
Babich Bob, Chicago Bears (DC), dc, [2007, 2008]
Babich Bob, Chicago Bears (DC/LB), dc, [2009, 2009]
Babich Bob, Chicago Bears (LB), lb, [2010, 2012]
Babich Bob, Jacksonville Jaguars (DC), dc, [2013, -1]
Baer Kent, Yokosuka Seahawks, hc, [1973, 1976]
Bagnoli Al, Albany (GA), ga, [1975, 1975]
Bagnoli Al, Albany (DC), dc, [1976, 1977]
Bagnoli Al, Union (DC), dc, [1978, 1981]
Bagnoli Al, Union, hc, [1982, 1991]
Bagnoli Al, Penn, hc, [1992, -1]
Bailey Carey, West Virginia (GA), ga, [1993, 1994]
Bailey Carey, VMI (DE), dl, [1995, 1997]
Bailey Carey, LouisianaLafayette (LB), lb, [1998, 1998]
Bailey Carey, LouisianaLafayette (DT), dl, [1999, 2002]
Bailey Carey, Middle Tennessee (DL), dl, [2003, 2003]
Bailey Carey, Oklahoma State (DL), dl, [2004, 2004]
Bailey Carey, Minnesota (DL), dl, [2005, 2006]
Bailey Carey, Howard (HC), hc, [2007, 2010]
Bailey Carey, Lamar (DL), dl, [2012, 2013]
Bailey Carey, Lamar (AHC DL ST), hc, [2014, 2014]
Bailey Carey, Atlanta Falcons (LB Intern), lb, [2012, -1]
Bailey Charlie, Poca HS (WV) (assistant), ga, [1962, 1962]
Bailey Charlie, Brandon HS (FL) (assistant), ga, [1963, 1963]
Bailey Charlie, Tampa (assistant), ga, [1964, 1970]
Bailey Charlie, Miami (FL) (assistant), ga, [1971, 1971]
Bailey Charlie, Rice (assistant), ga, [1972, 1974]
Bailey Charlie, Kentucky (assistant), ga, [1975, 1981]
Bailey Charlie, Pittsburgh (DC), dc, [1982, 1982]
Bailey Charlie, Tampa Bay Bandits (AHC/DC), hc, [1983, 1984]
Bailey Charlie, Florida (DC/ILB), dc, [1985, 1985]
Bailey Charlie, Memphis State, hc, [1986, 1988]
Bailey Charlie, UTEP (DC), dc, [1990, 1991]
Bailey Charlie, Orlando Thunder (DC/LB), dc, [1992, 1992]
Bailey Charlie, UTEP (DC), dc, [1993, 1993]
Bailey Charlie, UTEP, hc, [1993, 1999]
Bailey Charlie, Orlando Rage (DC/LB), dc, [2001, -1]
Bailey Willard, Virginia Union, hc, [1971, 1983]
Bailey Willard, Norfolk State, hc, [1984, 1992]
Bailey Willard, Virginia Union, hc, [1995, 2003]
Bailiff David, New Braunfels HS (DL), dl, [1982, 1984]
Bailiff David, Southwest Texas State (GA), ga, [1988, 1988]
Bailiff David, Southwest Texas State (DL), dl, [1989, 1991]
Bailiff David, New Mexico (DL), dl, [1992, 1996]
Bailiff David, Southwest Texas State (DC), dc, [1997, 2000]
Bailiff David, TCU (DC), dc, [2001, 2003]
Bailiff David, Texas State, hc, [2004, 2006]
Bailiff David, Rice, hc, [2007, -1]
Baker Art, Clemson (RB), rb, [1965, 1969]
Baker Art, Texas Tech (assistant), ga, [1970, 1972]
Baker Art, Furman, hc, [1973, 1977]
Baker Art, The Citadel, hc, [1978, 1982]
Baker Art, East Carolina (assistant), ga, [1983, 1983]
Baker Art, Florida State (QB), qb, [1984, 1984]
Baker Art, East Carolina, hc, [1985, 1988]
Baker Ed, Kalamazoo, hc, [1967, 1983]
Baker Ed, Kalamazoo, hc, [1988, 1989]
Baker Gregg, Faulkner, hc, [2009, 2011]
Baldwin Beau, Central Washington (QB), qb, [1994, 2002]
Baldwin Beau, Eastern Washington (OC/QB), oc, [2003, 2006]
Baldwin Beau, Central Washington, hc, [2007, 2007]
Baldwin Beau, Eastern Washington, hc, [2008, -1]
Baldwin Dave, Granada Hills HS (AC), hc, [1978, 1978]
Baldwin Dave, Cal State Northridge (GA), ga, [1979, 1980]
Baldwin Dave, San Jose State (WR), wr, [1981, 1984]
Baldwin Dave, Stanford (WR), wr, [1985, 1988]
Baldwin Dave, Santa Barbara JC, hc, [1990, 1993]
Baldwin Dave, Santa Rosa JC, hc, [1994, 1994]
Baldwin Dave, Cal State Northridge, hc, [1995, 1996]
Baldwin Dave, San Jose State, hc, [1997, 2000]
Baldwin Dave, Cincinnati (OC), oc, [2001, 2001]
Baldwin Dave, Baylor (OC/QB), oc, [2002, 2002]
Baldwin Dave, Michigan State (OC/TE), oc, [2003, 2006]
Baldwin Dave, New Mexico (OC/QB), oc, [2007, 2008]
