Cubit Bill, Florida (QB), qb, [1989, 1989]
Cubit Bill, Akron (RB), rb, [1990, 1991]
Cubit Bill, Widener, wr, [1992, 1996]
Cubit Bill, Western Michigan (OC), oc, [1997, 1999]
Cubit Bill, Missouri (OC), oc, [2000, 2000]
Cubit Bill, Rutgers (OC), oc, [2001, 2002]
Cubit Bill, Stanford (OC), oc, [2003, 2004]
Cubit Bill, Western Michigan, hc, [2005, 2012]
Cubit Bill, Illinois (OC), oc, [2013, -1]
Currey Dave, Stanford (assistant), ga, [1970, 1976]
Currey Dave, Long Beach State, hc, [1977, 1983]
Currey Dave, Cincinnati, hc, [1984, 1988]
Currey Dave, UCLA (assistant), ga, [1989, -1]
Curry Bill, Georgia Tech (assistant), ga, [1976, 1976]
Curry Bill, Green Bay Packers (assistant), ga, [1977, 1979]
Curry Bill, Georgia Tech, hc, [1980, 1986]
Curry Bill, Alabama, hc, [1987, 1989]
Curry Bill, Kentucky, hc, [1990, 1996]
Curry Bill, Georgia State, hc, [2008, 2012]
Curtis Robert Bob, Franklin & Marshall, hc, [1971, 1974]
Curtis Robert Bob, Bucknell, hc, [1975, 1985]
Cutcliffe David, Banks HS (AL) (assistant), ga, [1976, 1979]
Cutcliffe David, Banks HS (AL), hc, [1980, 1981]
Cutcliffe David, Tennessee (assistant), ga, [1982, 1982]
Cutcliffe David, Tennessee (TE), hc, [1983, 1989]
Cutcliffe David, Tennessee (QB), qb, [1990, 1993]
Cutcliffe David, Tennessee (OC/QB), oc, [1993, 1998]
Cutcliffe David, Ole Miss, hc, [1999, 2004]
Cutcliffe David, Notre Dame (AHC/QB)>, hc, [2005, 2005]
Cutcliffe David, Tennessee (OC), oc, [2006, 2007]
Cutcliffe David, Duke, hc, [2008, -1]
Dallas Dave, Missouri Western (GA), ga, [1983, 1984]
Dallas Dave, Northeast Missouri State (assistant), ga, [1985, 1985]
Dallas Dave, Rolla HS (MO), hc, [1986, 1986]
Dallas Dave, Graceland, hc, [1987, 1988]
Dallas Dave, Ottawa, hc, [1989, 1996]
Dallas Dave, Kansas Wesleyan, hc, [1997, 2013]
Dando Bill, John Carroll, hc, [1964, 1964]
Dando Bill, SMU (LB), hc, [1965, 1965]
Dando Bill, Buffalo, hc, [1977, 1989]
Dantonio Mark, Ohio (GA), ga, [1980, 1980]
Dantonio Mark, Purdue (GA), ga, [1981, 1981]
Dantonio Mark, Butler CC (DC), dc, [1982, 1982]
Dantonio Mark, Ohio State (GA), ga, [1983, 1984]
Dantonio Mark, Akron (DB), db, [1985, 1985]
Dantonio Mark, Youngstown State (DC), dc, [1986, 1990]
Dantonio Mark, Kansas (DB), db, [1991, 1994]
Dantonio Mark, Michigan State (DB), db, [1995, 2000]
Dantonio Mark, Ohio State (DC), dc, [2001, 2003]
Dantonio Mark, Cincinnati, hc, [2004, 2006]
Dantonio Mark, Michigan State, hc, [2007, -1]
Danzy Theophilus Theo, Alcorn State (assistant), ga, [1964, 1971]
Danzy Theophilus Theo, Prairie View, hc, [1972, 1972]
Danzy Theophilus Theo, Alcorn State (assistant), ga, [1973, 1976]
Danzy Theophilus Theo, Alabama A&M, hc, [1977, 1978]
Danzy Theophilus Theo, Arkansas-Pine Bluff (DC), dc, [1979, 1979]
Danzy Theophilus Theo, Miles, hc, [1980, 1982]
Danzy Theophilus Theo, Alcorn State (assistant), ga, [1983, 1985]
Danzy Theophilus Theo, Alcorn State, hc, [1986, 1990]
Danzy Theophilus Theo, Stillman, hc, [1999, 2005]
Darnell Gary, Oklahoma State (GA), ga, [1970, 1970]
Darnell Gary, Oklahoma State (LBs), lb, [1971, 1972]
Darnell Gary, Southern Methodist (LBs), lb, [1973, 1975]
Darnell Gary, North Carolina (LBs), lb, [1976, 1977]
Darnell Gary, Kansas State (Asst. HC/DC), hc, [1978, 1982]
Darnell Gary, Tennessee Tech, hc, [1983, 1985]
Darnell Gary, Wake Forest (Asst. HC/DC), hc, [1986, 1987]
Darnell Gary, Florida (DC), dc, [1988, 1989]
Darnell Gary, Florida (Interim HC), hc, [1989, 1989]
Darnell Gary, Notre Dame (Asst. HC/DC), hc, [1990, 1991]
Darnell Gary, Texas (Asst. HC/ST), hc, [1992, 1993]
