Last First Name,school,School/Info,position,start year,end year (-1 current position),,position,,,school,len school name
Carroll Pete,ohio state, Ohio State (SC),db,1979,1979,ohio state (sc),db,TRUE,12,ohio state,10
Carroll Pete,pacific, Pacific (GA),ga,1973,1976,pacific (ga),ga,TRUE,9,pacific,7
Carroll Pete,pacific, Pacific (OC),oc,1983,1983,pacific (oc),oc,TRUE,9,pacific,7
Carroll Pete,san francisco 49ers, San Francisco 49ers (DC),dc,1995,1996,san francisco 49ers (dc),dc,TRUE,21,san francisco 49ers,19
Carroll Pete,seattle seahawks, Seattle Seahawks (HC),hc,2010,-1,seattle seahawks (hc),hc,TRUE,18,seattle seahawks,16
Carroll Pete,usc, USC (HC),hc,2001,2009,usc (hc),hc,TRUE,5,usc,3
Carter Rick E.,dayton, Dayton,hc,1977,1980,dayton,hc,TRUE,#VALUE!,dayton,6
Carter Rick E.,dayton,Dayton,hc,1977,1980,dayton,hc,TRUE,#VALUE!,dayton,6
Carter Rick E.,earlham, Earlham,hc,1966,1971,earlham,hc,TRUE,#VALUE!,earlham,7
Carter Rick E.,earlham, Earlham (GA),hc,1965,1965,earlham (ga),hc,TRUE,9,earlham,7
Carter Rick E.,earlham,Earlham,ga,1965,1965,earlham,ga,TRUE,#VALUE!,earlham,7
Carter Rick E.,earlham,Earlham,hc,1966,1971,earlham,hc,TRUE,#VALUE!,earlham,7
Carter Rick E.,hanover, Hanover,hc,1972,1976,hanover,hc,TRUE,#VALUE!,hanover,7
Carter Rick E.,hanover,Hanover,hc,1972,1976,hanover,hc,TRUE,#VALUE!,hanover,7
Carter Rick E.,holy cross, Holy Cross (MA),hc,1981,1985,holy cross (ma),hc,TRUE,12,holy cross,10
Carter Rick E.,holy cross,Holy  Cross (MA),hc,1981,1985,holy cross (ma),hc,TRUE,12,holy cross,10
Carter Rubin,denver broncos, Denver Broncos (DL),dl,1987,1988,denver broncos (dl),dl,TRUE,16,denver broncos,14
Carter Rubin,florida a&m, Florida A&M,hc,2005,2007,florida a&m,hc,TRUE,#VALUE!,florida a&m,11
Carter Rubin,howard, Howard (DL),dl,1987,1993,howard (dl),dl,TRUE,8,howard,6
Carter Rubin,maryland, Maryland (DL),dl,1997,1998,maryland (dl),dl,TRUE,10,maryland,8
Carter Rubin,miami killian high school, Miami Killian High School (DL),dl,1994,1995,miami killian high school (dl),dl,TRUE,27,miami killian high school,25
Carter Rubin,new mexico, New Mexico (DL),dl,2009,2011,new mexico (dl),dl,TRUE,12,new mexico,10
Carter Rubin,new york jets, New York Jets (DL),dl,2001,2003,new york jets (dl),dl,TRUE,15,new york jets,13
Carter Rubin,purdue, Purdue (DL),dl,2013,-1,purdue (dl),dl,TRUE,8,purdue,6
Carter Rubin,san jose state, San Jose State (DL),dl,1995,1996,san jose state (dl),dl,TRUE,16,san jose state,14
Carter Rubin,temple, Temple (DL),dl,2004,2005,temple (dl),dl,TRUE,8,temple,6
Carter Rubin,towson, Towson (DL),dl,2012,2012,towson (dl),dl,TRUE,8,towson,6
Carter Rubin,washington redskins, Washington Redskins (DL),dl,1999,2000,washington redskins (dl),dl,TRUE,21,washington redskins,19
Carthel Don,amarillo dusters, Amarillo Dusters,hc,2004,2004,amarillo dusters,hc,TRUE,#VALUE!,amarillo dusters,16
Carthel Don,dubuque, Dubuque (DC),dc,1977,1979,dubuque (dc),dc,TRUE,9,dubuque,7
Carthel Don,enmu, ENMU,hc,1985,1991,enmu,hc,TRUE,#VALUE!,enmu,4
Carthel Don,floydada hs, Floydada HS (DC),dc,1975,1976,floydada hs (dc),dc,TRUE,13,floydada hs,11
Carthel Don,fw boswell hs, FW Boswell HS (DC),dc,1980,1980,fw boswell hs (dc),dc,TRUE,15,fw boswell hs,13
Carthel Don,lubbock christian, Lubbock Christian,hc,1981,1982,lubbock christian,hc,TRUE,#VALUE!,lubbock christian,17
Carthel Don,utep, UTEP (OL/ST),ol,1983,1984,utep (ol/st),ol,TRUE,6,utep,4
Carthel Don,west texas a&m, West Texas A&M,hc,2005,2013,west texas a&m,hc,TRUE,#VALUE!,west texas a&m,14
Caruso Glenn,ithaca, Ithaca (GA),ga,1996,1996,ithaca (ga),ga,TRUE,8,ithaca,6
Caruso Glenn,macalester, Macalester,hc,2006,2007,macalester,hc,TRUE,#VALUE!,macalester,10
Caruso Glenn,north dakota state, North Dakota State (assistant),ga,1997,2001,north dakota state (assistant),ga,TRUE,20,north dakota state,18
Caruso Glenn,north dakota state, North Dakota State (OC),oc,2002,2002,north dakota state (oc),oc,TRUE,20,north dakota state,18
Caruso Glenn,south dakota, South Dakota (OC),oc,2004,2005,south dakota (oc),oc,TRUE,14,south dakota,12
Caruso Glenn,st. thomas, St. Thomas (MN),hc,2008,-1,st. thomas (mn),hc,TRUE,12,st. thomas,10
Caruso Glenn,wisconsineau claire, WisconsinEau Claire (OL),ol,2003,2003,wisconsineau claire (ol),ol,TRUE,21,wisconsineau claire,19
Casem Marino,alabama state, Alabama State,hc,1963,1963,alabama state,hc,TRUE,#VALUE!,alabama state,13
Casem Marino,alcorn state, Alcorn State,hc,1964,1985,alcorn state,hc,TRUE,#VALUE!,alcorn state,12
Casem Marino,southern, Southern,hc,1992,1992,southern,hc,TRUE,#VALUE!,southern,8
Casem Marino,southern, Southern,hc,1987,1988,southern,hc,TRUE,#VALUE!,southern,8
Catchings Haney,alabama state, Alabama State (OC),oc,1992,1992,alabama state (oc),oc,TRUE,15,alabama state,13
Catchings Haney,albany state, Albany State (OC),oc,1983,1985,albany state (oc),oc,TRUE,14,albany state,12
Catchings Haney,e. e. smith hs, E. E. Smith HS (NC),hc,2007,2008,e. e. smith hs (nc),hc,TRUE,16,e. e. smith hs,14
Catchings Haney,e. e. smith hs, E. E. Smith HS (NC) (assistant),ga,2002,2006,e. e. smith hs (nc) (assistant),ga,TRUE,16,e. e. smith hs,14
Catchings Haney,fayetteville state, Fayetteville State (OC),oc,1996,1998,fayetteville state (oc),oc,TRUE,20,fayetteville state,18
Catchings Haney,prairie view a&m, Prairie View A&M,hc,1987,1989,prairie view a&m,hc,TRUE,#VALUE!,prairie view a&m,16
Catchings Haney,prairie view a&m, Prairie View A&M (OC),oc,1986,1987,prairie view a&m (oc),oc,TRUE,18,prairie view a&m,16
Catchings Haney,seventy-first hs, Seventy-First HS (NC),hc,2000,2001,seventy-first hs (nc),hc,TRUE,18,seventy-first hs,16
Catchings Haney,tuskegee, Tuskegee,hc,1993,1995,tuskegee,hc,TRUE,#VALUE!,tuskegee,8
Catchings Haney,tuskegee, Tuskegee (OC),oc,1990,1991,tuskegee (oc),oc,TRUE,10,tuskegee,8
Cater Monte,lakeland, Lakeland (WI),hc,1981,1986,lakeland (wi),hc,TRUE,10,lakeland,8
Cater Monte,shepherd, Shepherd,hc,1987,-1,shepherd,hc,TRUE,#VALUE!,shepherd,8
Cavan Mike,east tennessee state, East Tennessee State,hc,1992,1996,east tennessee state,hc,TRUE,#VALUE!,east tennessee state,20
Cavan Mike,georgia, Georgia (offensive backs),qb,1977,1985,georgia (offensive backs),qb,TRUE,9,georgia,7
Cavan Mike,southern methodist, SMU,hc,1997,2001,smu,hc,TRUE,#VALUE!,smu,18
Cavan Mike,valdosta state, Valdosta State,hc,1986,1991,valdosta state,hc,TRUE,#VALUE!,valdosta state,14
Chadwell Jamey,charleston southern, Charleston Southern,hc,2013,-1,charleston southern,hc,TRUE,#VALUE!,charleston southern,19
Chadwell Jamey,charleston southern, Charleston Southern (Assistant),ga,2004,2008,charleston southern (assistant),ga,TRUE,21,charleston southern,19
Chadwell Jamey,delta state, Delta State,hc,2012,2012,delta state,hc,TRUE,#VALUE!,delta state,11
Chadwell Jamey,east tennessee state, East Tennessee State (Assistant),ga,2000,2003,east tennessee state (assistant),ga,TRUE,22,east tennessee state,20
Chadwell Jamey,north greenville, North Greenville,hc,2009,2011,north greenville,hc,TRUE,#VALUE!,north greenville,16
Chaney Jim,arkansas, Arkansas (OC/QB),oc,2013,-1,arkansas (oc/qb),oc,TRUE,10,arkansas,8
Chaney Jim,cal state fullerton, Cal State Fullerton (assistant),ga,1985,1992,cal state fullerton (assistant),ga,TRUE,21,cal state fullerton,19
Chaney Jim,purdue, Purdue (OC),oc,1997,2005,purdue (oc),oc,TRUE,8,purdue,6
Chaney Jim,st. louis rams, St. Louis Rams (assistant OL),ga,2006,2007,st. louis rams (assistant ol),ga,TRUE,16,st. louis rams,14
Chaney Jim,st. louis rams, St. Louis Rams (TE),te,2008,2008,st. louis rams (te),te,TRUE,16,st. louis rams,14
Chaney Jim,tennessee, Tennessee (interim HC),hc,2012,2012,tennessee (interim hc),hc,TRUE,11,tennessee,9
Chaney Jim,tennessee, Tennessee (OC),oc,2009,2012,tennessee (oc),oc,TRUE,11,tennessee,9
Chaney Jim,wyoming, Wyoming (GA),ga,1993,1994,wyoming (ga),ga,TRUE,9,wyoming,7
Chaney Jim,wyoming, Wyoming (OL/RC),ol,1995,1996,wyoming (ol/rc),ol,TRUE,9,wyoming,7
Chaump George,central dauphin east hs, Central Dauphin East HS (PA),hc,2011,-1,central dauphin east hs (pa),hc,TRUE,25,central dauphin east hs,23
Chaump George,central dauphin hs, Central Dauphin HS (PA),hc,1997,2001,central dauphin hs (pa),hc,TRUE,20,central dauphin hs,18
Chaump George,harrisburg hs, Harrisburg HS (PA),hc,2002,2010,harrisburg hs (pa),hc,TRUE,15,harrisburg hs,13
Chaump George,iup, IUP,hc,1982,1985,iup,hc,TRUE,#VALUE!,iup,3
Chaump George,marshall, Marshall,hc,1986,1989,marshall,hc,TRUE,#VALUE!,marshall,8
Chaump George,navy, Navy,hc,1990,1994,navy,hc,TRUE,#VALUE!,navy,4
Chaump George,ohio state, Ohio State (assistant),ga,1968,1978,ohio state (assistant),ga,TRUE,12,ohio state,10
Chaump George,tampa bay buccaneers, Tampa Bay Buccaneers (asst.),ga,1979,1981,tampa bay buccaneers (asst.),ga,TRUE,22,tampa bay buccaneers,20
Chismar Ron,arizona state, Arizona State (OC/OL),oc,1980,1983,arizona state (oc/ol),oc,TRUE,15,arizona state,13
Chismar Ron,bowling green, Bowling Green (assistant),ga,1970,1973,bowling green (assistant),ga,TRUE,15,bowling green,13
Chismar Ron,fort scott cc, Fort Scott CC,hc,1993,1996,fort scott cc,hc,TRUE,#VALUE!,fort scott cc,13
Chismar Ron,michigan state, Michigan State (OL),ol,1974,1979,michigan state (ol),ol,TRUE,16,michigan state,14
Chismar Ron,rice, Rice (AHC/DC),ahc,1987,1988,rice (ahc/dc),ahc,TRUE,6,rice,4
Chismar Ron,temple, Temple (AHC/DC),ahc,1989,1992,temple (ahc/dc),ahc,TRUE,8,temple,6
Chismar Ron,wichita state, Wichita State,hc,1984,1986,wichita state,hc,TRUE,#VALUE!,wichita state,13
Chizik Gene,auburn, Auburn,hc,2009,2012,auburn,hc,TRUE,#VALUE!,auburn,6
Chizik Gene,auburn, Auburn (DC/DB),dc,2002,2004,auburn (dc/db),dc,TRUE,8,auburn,6
Chizik Gene,clemson, Clemson (GA),ga,1988,1989,clemson (ga),ga,TRUE,9,clemson,7
Chizik Gene,iowa state, Iowa State,hc,2007,2008,iowa state,hc,TRUE,#VALUE!,iowa state,10
Chizik Gene,middle tennessee, Middle Tennessee (DE),dl,1990,1991,middle tennessee (de),dl,TRUE,18,middle tennessee,16
Chizik Gene,seminole hs, Seminole HS (FL) (DC/ILB),dc,1986,1987,seminole hs (fl) (dc/ilb),dc,TRUE,13,seminole hs,11
Chizik Gene,stephen f. austin, Stephen F. Austin (DC),dc,1996,1997,stephen f. austin (dc),dc,TRUE,19,stephen f. austin,17
Chizik Gene,stephen f. austin, Stephen F. Austin (LB),lb,1992,1995,stephen f. austin (lb),lb,TRUE,19,stephen f. austin,17
Chizik Gene,texas, Texas (co-DC/AHC/LB),ahc,2005,2006,texas (co-dc/ahc/lb),ahc,TRUE,7,texas,5
Chizik Gene,ucf, UCF (DC/DB),dc,1998,2001,ucf (dc/db),dc,TRUE,5,ucf,3
Chow Norm,brigham young, BYU (freshmen),ga,1975,1975,byu (freshmen),ga,TRUE,5,byu,13
Chow Norm,brigham young, BYU (GA),ga,1973,1974,byu (ga),ga,TRUE,5,byu,13
Chow Norm,brigham young, BYU (OC/QB/WR),oc,1996,1999,byu (oc/qb/wr),oc,TRUE,5,byu,13
Chow Norm,brigham young, BYU (QB/WR),qb,1986,1996,byu (qb/wr),qb,TRUE,5,byu,13
Chow Norm,brigham young, BYU (RB),rb,1978,1978,byu (rb),rb,TRUE,5,byu,13
Chow Norm,brigham young, BYU (WR),wr,1976,1977,byu (wr),wr,TRUE,5,byu,13
Chow Norm,brigham young, BYU (WR),wr,1979,1985,byu (wr),wr,TRUE,5,byu,13
Chow Norm,hawaii, Hawaii,hc,2012,-1,hawaii,hc,TRUE,#VALUE!,hawaii,6
Chow Norm,nc state, NC State (OC),oc,2000,2000,nc state (oc),oc,TRUE,10,nc state,8
Chow Norm,tennessee titans, Tennessee Titans (OC),oc,2005,2007,tennessee titans (oc),oc,TRUE,18,tennessee titans,16
Chow Norm,ucla, UCLA (OC),oc,2008,2010,ucla (oc),oc,TRUE,6,ucla,4
Chow Norm,usc, USC (OC),oc,2001,2004,usc (oc),oc,TRUE,5,usc,3
Chow Norm,utah, Utah (OC),oc,2011,2011,utah (oc),oc,TRUE,6,utah,4
Christensen Dave,everett hs, Everett HS (OL/DL),ol,1985,1985,everett hs (ol/dl),ol,TRUE,12,everett hs,10
Christensen Dave,idaho state, Idaho State (OL/TE/RB),ol,1989,1990,idaho state (ol/te/rb),ol,TRUE,13,idaho state,11
Christensen Dave,missouri, Missouri (OC),oc,1997,2008,missouri (oc),oc,TRUE,10,missouri,8
Christensen Dave,sehome hs, Sehome HS (OL/DL),ol,1984,1984,sehome hs (ol/dl),ol,TRUE,11,sehome hs,9
Christensen Dave,spokane falls cc, Spokane Falls CC,hc,1986,1987,spokane falls cc,hc,TRUE,#VALUE!,spokane falls cc,16
Christensen Dave,toledo, Toledo (OC),oc,1992,1996,toledo (oc),oc,TRUE,8,toledo,6
Christensen Dave,toledo, Toledo (OL),ol,1990,1991,toledo (ol),ol,TRUE,8,toledo,6
Christensen Dave,utah, Utah (OC/TE),oc,2014,-1,utah (oc/te),oc,TRUE,6,utah,4
Christensen Dave,washington, Washington (OL),ol,1988,1988,washington (ol),ol,TRUE,12,washington,10
Christensen Dave,western washington, Western Washington (RB),rb,1983,1983,western washington (rb),rb,TRUE,20,western washington,18
Christensen Dave,wyoming, Wyoming,hc,2009,2013,wyoming,hc,TRUE,#VALUE!,wyoming,7
Christophel Rick,arizona cardinals, Arizona Cardinals (TE),te,2013,-1,arizona cardinals (te),te,TRUE,19,arizona cardinals,17
Christophel Rick,austin peay state, Austin Peay State,hc,2007,2012,austin peay state,hc,TRUE,#VALUE!,austin peay state,17
Christophel Rick,austin peay state, Austin Peay State (GA),ga,1975,1975,austin peay state (ga),ga,TRUE,19,austin peay state,17
Christophel Rick,austin peay state, Austin Peay State (RB),rb,1979,1981,austin peay state (rb),rb,TRUE,19,austin peay state,17
Christophel Rick,cincinnati, Cincinnati (QB/TE),qb,1983,1983,cincinnati (qb/te),qb,TRUE,12,cincinnati,10
Christophel Rick,mississippi state, Mississippi State (WR),wr,1991,1994,mississippi state (wr),wr,TRUE,19,mississippi state,17
Christophel Rick,rice, Rice (QB/RB),qb,1984,1985,rice (qb/rb),qb,TRUE,6,rice,4
Christophel Rick,southern arkansas, Southern Arkansas (OC),oc,1982,1982,southern arkansas (oc),oc,TRUE,19,southern arkansas,17
Christophel Rick,uab, UAB (assistant),ga,1995,2006,uab (assistant),ga,TRUE,5,uab,3
Christophel Rick,vanderbilt, Vanderbilt (assistant),ga,1986,1990,vanderbilt (assistant),ga,TRUE,12,vanderbilt,10
Chryst Paul,illinois state, Illinois State (OC),oc,1995,1995,illinois state (oc),oc,TRUE,16,illinois state,14
Chryst Paul,oregon state, Oregon State (OC),oc,1997,1998,oregon state (oc),oc,TRUE,14,oregon state,12
Chryst Paul,oregon state, Oregon State (OC),oc,2003,2004,oregon state (oc),oc,TRUE,14,oregon state,12
Chryst Paul,ottawa rough riders, Ottawa Rough Riders (assistant),ga,1994,1994,ottawa rough riders (assistant),ga,TRUE,21,ottawa rough riders,19
Chryst Paul,pittsburgh, Pittsburgh,hc,2012,-1,pittsburgh,hc,TRUE,#VALUE!,pittsburgh,10
Chryst Paul,san antonio riders, San Antonio Riders (assistant),ga,1991,1992,san antonio riders (assistant),ga,TRUE,20,san antonio riders,18
Chryst Paul,san diego chargers, San Diego Chargers (TE),te,1999,2001,san diego chargers (te),te,TRUE,20,san diego chargers,18
Chryst Paul,saskatchewan roughriders, Saskatchewan Roughriders (OC),oc,1996,1996,saskatchewan roughriders (oc),oc,TRUE,26,saskatchewan roughriders,24
Chryst Paul,uwplatteville, UWPlatteville (OC),oc,1993,1993,uwplatteville (oc),oc,TRUE,15,uwplatteville,13
Chryst Paul,west virginia, West Virginia (GA),ga,1989,1990,west virginia (ga),ga,TRUE,15,west virginia,13
Chryst Paul,wisconsin, Wisconsin (OC),oc,2005,2011,wisconsin (oc),oc,TRUE,11,wisconsin,9
Chryst Paul,wisconsin, Wisconsin (TE),te,2002,2002,wisconsin (te),te,TRUE,11,wisconsin,9
Cignetti Curt,alabama, Alabama (WR/RC),wr,2007,2010,alabama (wr/rc),wr,TRUE,9,alabama,7
Cignetti Curt,davidson, Davidson (QB/WR),qb,1985,1985,davidson (qb/wr),qb,TRUE,10,davidson,8
Cignetti Curt,iup, IUP,hc,2011,-1,iup,hc,TRUE,#VALUE!,iup,3
Cignetti Curt,north carolina state, North Carolina State (QB/TE/RC),qb,2000,2006,north carolina state (qb/te/rc),qb,TRUE,22,north carolina state,20
Cignetti Curt,pittsburgh, Pittsburgh (GA),ga,1983,1984,pittsburgh (ga),ga,TRUE,12,pittsburgh,10
Cignetti Curt,pittsburgh, Pittsburgh (QB/TE),qb,1993,1999,pittsburgh (qb/te),qb,TRUE,12,pittsburgh,10
Cignetti Curt,rice, Rice (QB),qb,1986,1988,rice (qb),qb,TRUE,6,rice,4
Cignetti Curt,temple, Temple (QB),qb,1989,1992,temple (qb),qb,TRUE,8,temple,6
Cintorino Sal,central connecticut, Central Connecticut,hc,1992,2000,central connecticut,hc,TRUE,#VALUE!,central connecticut,19
Cirbus Craig,buffalo, Buffalo,hc,1995,2000,buffalo,hc,TRUE,#VALUE!,buffalo,7
Cirbus Craig,penn state, Penn State (assistant),ga,1984,1994,penn state (assistant),ga,TRUE,12,penn state,10
Civetti Jay,boston college, Boston College (assistant),ga,2003,2006,boston college (assistant),ga,TRUE,16,boston college,14
Civetti Jay,milton hs, Milton HS (MA) (assistant),ga,2001,2002,milton hs (ma) (assistant),ga,TRUE,11,milton hs,9
Civetti Jay,nc state, NC State (WR),wr,2007,2007,nc state (wr),wr,TRUE,10,nc state,8
Civetti Jay,tufts, Tufts,hc,2011,-1,tufts,hc,TRUE,#VALUE!,tufts,5
Civetti Jay,tufts, Tufts (OC),oc,2008,2010,tufts (oc),oc,TRUE,7,tufts,5
Claeys Tracy,emporia state, Emporia State (DC),dc,1999,2000,emporia state (dc),dc,TRUE,15,emporia state,13
Claeys Tracy,minnesota, Minnesota (DC),dc,2011,-1,minnesota (dc),dc,TRUE,11,minnesota,9
Claeys Tracy,northern illinois, Northern Illinois (DC),dc,2008,2010,northern illinois (dc),dc,TRUE,19,northern illinois,17
Claeys Tracy,saginaw valley state, Saginaw Valley State (DL),dl,1995,1998,saginaw valley state (dl),dl,TRUE,22,saginaw valley state,20
Claeys Tracy,santa fe trail hs, Santa Fe Trail HS (co-DC),dc,1994,1994,santa fe trail hs (co-dc),dc,TRUE,19,santa fe trail hs,17
Claeys Tracy,southern illinois, Southern Illinois (DC),dc,2001,2007,southern illinois (dc),dc,TRUE,19,southern illinois,17
Claiborne Jerry,alabama, Alabama (assistant),ga,1958,1960,alabama (assistant),ga,TRUE,9,alabama,7
Claiborne Jerry,kentucky, Kentucky,hc,1982,1989,kentucky,hc,TRUE,#VALUE!,kentucky,8
Claiborne Jerry,maryland, Maryland,hc,1972,1981,maryland,hc,TRUE,#VALUE!,maryland,8
Claiborne Jerry,texas a&m, Texas A&M (assistant),ga,1954,1957,texas a&m (assistant),ga,TRUE,11,texas a&m,9
Claiborne Jerry,virginia tech, Virginia Tech,hc,1961,1970,virginia tech,hc,TRUE,#VALUE!,virginia tech,13
Clark Bill,coffee hs, Coffee HS (GA) (DC),dc,1995,1996,coffee hs (ga) (dc),dc,TRUE,11,coffee hs,9
Clark Bill,dothan hs, Dothan HS (AL) (DC),dc,1997,1998,dothan hs (al) (dc),dc,TRUE,11,dothan hs,9
Clark Bill,jacksonville state, Jacksonville State,hc,2013,2013,jacksonville state,hc,TRUE,#VALUE!,jacksonville state,18
Clark Bill,piedmont hs, Piedmont HS (AL) (Assistant),ga,1990,1991,piedmont hs (al) (assistant),ga,TRUE,13,piedmont hs,11
Clark Bill,prattville hs, Prattville HS (AL),hc,1999,2007,prattville hs (al),hc,TRUE,15,prattville hs,13
Clark Bill,south alabama, South Alabama (DC),dc,2008,2012,south alabama (dc),dc,TRUE,15,south alabama,13
Clark Bill,tuscaloosa county hs, Tuscaloosa County HS (AL) (DC),dc,1992,1994,tuscaloosa county hs (al) (dc),dc,TRUE,22,tuscaloosa county hs,20
Clark Bill,uab, UAB,hc,2014,-1,uab,hc,TRUE,#VALUE!,uab,3
Clawson Dave,albany, Albany (QB/RB/DB),qb,1989,1990,albany (qb/rb/db),qb,TRUE,8,albany,6
Clawson Dave,bowling green, Bowling Green,hc,2009,2013,bowling green,hc,TRUE,#VALUE!,bowling green,13
Clawson Dave,buffalo, Buffalo (QB/RB/DB),qb,1991,1992,buffalo (qb/rb/db),qb,TRUE,9,buffalo,7
Clawson Dave,fordham, Fordham,hc,1999,2004,fordham,hc,TRUE,#VALUE!,fordham,7
Clawson Dave,lehigh, Lehigh (RB/OC/RB),rb,1993,1995,lehigh (rb/oc/rb),rb,TRUE,8,lehigh,6
Clawson Dave,richmond, Richmond,hc,2004,2007,richmond,hc,TRUE,#VALUE!,richmond,8
Clawson Dave,tennessee, Tennessee (OC),oc,2008,2008,tennessee (oc),oc,TRUE,11,tennessee,9
Clawson Dave,villanova, Villanova (OC),oc,1996,1998,villanova (oc),oc,TRUE,11,villanova,9
Clawson Dave,wake forest, Wake Forest,hc,2014,-1,wake forest,hc,TRUE,#VALUE!,wake forest,11
Cochran Mike,southern nazarene, Southern Nazarene,hc,2006,-1,southern nazarene,hc,TRUE,#VALUE!,southern nazarene,17
Cocuzza Charlie,cresskill hs, Cresskill HS (NJ),hc,1973,1975,cresskill hs (nj),hc,TRUE,14,cresskill hs,12
Cocuzza Charlie,kean, Kean,hc,2003,2005,kean,hc,TRUE,#VALUE!,kean,4
Cocuzza Charlie,montclair state, Montclair State (OC),oc,1976,2002,montclair state (oc),oc,TRUE,17,montclair state,15
Coen Andy,james madison, James Madison (GA/OL),ga,1987,1987,james madison (ga/ol),ga,TRUE,15,james madison,13
Coen Andy,kings point, Kings Point (OC),oc,1990,1993,kings point (oc),oc,TRUE,13,kings point,11
Coen Andy,lehigh, Lehigh,hc,2006,-1,lehigh,hc,TRUE,#VALUE!,lehigh,6
Coen Andy,lehigh, Lehigh (OC/OL),oc,1996,1999,lehigh (oc/ol),oc,TRUE,8,lehigh,6
Coen Andy,lehigh, Lehigh (OL),ol,1994,1995,lehigh (ol),ol,TRUE,8,lehigh,6
Coen Andy,minnesota, Minnesota (GA/OL),ga,1988,1989,minnesota (ga/ol),ga,TRUE,11,minnesota,9
Coen Andy,penn, Penn (OC/OL),oc,2000,2005,penn (oc/ol),oc,TRUE,6,penn,4
Coen Andy,widener, Widener (asst OL),ga,1986,1986,widener (asst ol),ga,TRUE,9,widener,7
Cohen Dave,albany, Albany (LB),lb,1988,1990,albany (lb),lb,TRUE,8,albany,6
Cohen Dave,delaware, Delaware (DC),dc,2002,2005,delaware (dc),dc,TRUE,10,delaware,8
Cohen Dave,delaware, Delaware (LB),lb,1994,1998,delaware (lb),lb,TRUE,10,delaware,8
Cohen Dave,fordham, Fordham (DC),dc,1999,2001,fordham (dc),dc,TRUE,9,fordham,7
Cohen Dave,hofstra, Hofstra,hc,2006,2009,hofstra,hc,TRUE,#VALUE!,hofstra,7
Cohen Dave,lafayette, Lafayette (LB),lb,1991,1993,lafayette (lb),lb,TRUE,11,lafayette,9
Cohen Dave,rutgers, Rutgers (DC),dc,2013,-1,rutgers (dc),dc,TRUE,9,rutgers,7
Cohen Dave,rutgers, Rutgers (LB),lb,2012,2012,rutgers (lb),lb,TRUE,9,rutgers,7
Cohen Dave,western michigan, Western Michigan (DC),dc,2010,2011,western michigan (dc),dc,TRUE,18,western michigan,16
Coker Larry,claremore hs, Claremore HS (OK),hc,1977,1978,claremore hs (ok),hc,TRUE,14,claremore hs,12
Coker Larry,fairfax hs, Fairfax HS (OK),hc,1971,1976,fairfax hs (ok),hc,TRUE,12,fairfax hs,10
Coker Larry,miami, Miami (FL),hc,2001,2006,miami (fl),hc,TRUE,7,miami,5
Coker Larry,miami, Miami (FL) (OC),oc,1995,2000,miami (fl) (oc),oc,TRUE,7,miami,5
Coker Larry,ohio state, Ohio State (DB),db,1993,1994,ohio state (db),db,TRUE,12,ohio state,10
Coker Larry,ohio state, Ohio State (QB),qb,1995,1995,ohio state (qb),qb,TRUE,12,ohio state,10
Coker Larry,oklahoma, Oklahoma (OC),oc,1990,1992,oklahoma (oc),oc,TRUE,10,oklahoma,8
Coker Larry,oklahoma state, Oklahoma State (OC),oc,1983,1989,oklahoma state (oc),oc,TRUE,16,oklahoma state,14
Coker Larry,tulsa, Tulsa (OC),oc,1980,1982,tulsa (oc),oc,TRUE,7,tulsa,5
Coker Larry,tulsa, Tulsa (RB/QB),rb,1979,1979,tulsa (rb/qb),rb,TRUE,7,tulsa,5
Coker Larry,utsa, UTSA,hc,2009,-1,utsa,hc,TRUE,#VALUE!,utsa,4
Cole Jim,alma, Alma,hc,1991,-1,alma,hc,TRUE,#VALUE!,alma,4
Cole Jim,alma, Alma (assistant),ga,1982,1989,alma (assistant),ga,TRUE,6,alma,4
Cole Jim,central michigan, Central Michigan (GA),ga,1974,1974,central michigan (ga),ga,TRUE,18,central michigan,16
Cole Jim,central michigan, Central Michigan (volunteer),ga,1990,1990,central michigan (volunteer),ga,TRUE,18,central michigan,16
Colletto Jim,arizona state, Arizona State (OC),oc,1985,1987,arizona state (oc),oc,TRUE,15,arizona state,13
Colletto Jim,baltimore ravens, Baltimore Ravens (OL),ol,1999,2005,baltimore ravens (ol),ol,TRUE,18,baltimore ravens,16
Colletto Jim,brown, Brown (OL),ol,1969,1969,brown (ol),ol,TRUE,7,brown,5
Colletto Jim,cal state fullerton, Cal State Fullerton,hc,1975,1979,cal state fullerton,hc,TRUE,#VALUE!,cal state fullerton,19
Colletto Jim,detroit lions, Detroit Lions (OC/OL),oc,2007,2008,detroit lions (oc/ol),oc,TRUE,15,detroit lions,13
Colletto Jim,notre dame, Notre Dame (OC),oc,1997,1998,notre dame (oc),oc,TRUE,12,notre dame,10
Colletto Jim,ohio state, Ohio State (OC),oc,1988,1990,ohio state (oc),oc,TRUE,12,ohio state,10
Colletto Jim,pacific, Pacific (OL),ol,1972,1974,pacific (ol),ol,TRUE,9,pacific,7
Colletto Jim,purdue, Purdue,hc,1991,1996,purdue,hc,TRUE,#VALUE!,purdue,6
Colletto Jim,purdue, Purdue (OC),oc,1982,1984,purdue (oc),oc,TRUE,8,purdue,6
Colletto Jim,ucla, UCLA (AHC/OL),ahc,2006,2006,ucla (ahc/ol),ahc,TRUE,6,ucla,4
