atwood coach,-0.871430806,1
audino john,-0.183053057,13
auer john,-0.214506106,1
ault chris,0.299803888,31
ault coach,-0.926990817,1
austin david,-0.748598299,2
austin joe,-0.260540235,5
austin john,-0.26150571,5
austin kent,0.292481074,5
austin ov spout,-0.383669527,3
ave harold c,-0.102685588,6
avery wendell,-0.588641743,2
avezzano joe,-0.614307782,5
awrey randy,0.207647639,9
axman steve,0.095086519,37
aycock steven,0.28751822,4
ayers mike,0.221155611,35
babcock george,-0.121631354,5
babcock mike,-0.214506106,1
babcock patrick,-0.926990817,1
babers dino,0.24916788,29
babich bob,0.049894093,19
bach joseph joe,0.433202609,3
bachman charles w,-0.098915475,27
bachman walter e,0.485105211,3
backman stanley g,-0.415152087,3
backstrom daffin,-0.905640157,1
bacot gw,0.935648948,1
badenoch arthur h,0.548095972,4
badke george,0.775906463,2
baer charles e chuck,0.02079844,6
baer kent,0.332290153,2
baer virgil,-0.387279269,3
baggett alfred,0.096458761,7
bagley john f,-0.841405402,2
bagnoli al,0.200903865,22
bagshaw enoch,0.237052342,9
bahhur ted,0.030966199,5
bailey carey,-0.719078797,15
bailey charlie,0.043636632,16
bailey cory,0.081448811,8
bailey don,-0.881547017,1
bailey michael,-0.252339539,5
bailey orville,-0.875164327,2
bailey willard,0.336422414,25
bailiff david,-0.007108997,16
bains jas,-0.321942767,1
baird j arthur,-0.115186284,7
baker art,-0.105549903,19
baker dr bruce,-0.887767997,1
baker ed,-0.16708497,19
baker gregg,0.257688501,3
baker john w,-0.203158323,12
baker lt cdr john,-0.685250519,1
baker william c bill,-0.103673486,6
baldacci paul,-0.159289485,2
baldridge bill,-0.542984807,6
baldrige malcolm mac,0.630010544,2
baldwin beau,0.431231824,10
baldwin dave,-0.056875957,26
baldwin james a,-0.199349989,8
baldwin jerry,-0.572744508,3
ball clinton,0.34417811,1
ball jack,-0.219051799,7
ball phil,-0.011462497,13
ball randy,0.027217299,16
ballard matt,-0.864581989,1
ballenger frank,-0.856882019,2
balliet dm,0.063109249,5
ballin hal,-0.191319506,2
banbury coach,-0.877935654,1
bancroft william h billy,-0.137991915,5
bandini skip,-0.143927635,1
bank theodore p ted,-0.360571442,6
bankart hr,-0.851697924,1
bankart laurence h,0.555488002,5
banks earl c,0.290212608,14
banks mark b,0.067959919,13
banks oree,0.106480243,8
bannard wh,0.724243972,1
bannon jg,0.758817744,1
barber charles m,0.001878024,2
barber edwin,-0.271042512,1
barbes john bunny,-0.900600803,3
barbier darren,-0.301718833,2
barbour frank,0.343672078,2
barclay george o,-0.237768912,1
barclay george t,-0.668531783,3
barclay john,0.772086466,1
barco harry e,-0.33617737,3
barco john w,-0.435026131,4
barfield doug,-0.209615397,5
barker brent,0.799410011,2
barker richard w,-0.025675424,2
barksdale sa,-0.872080883,1
barkum jerome,-0.70986979,1
barlow george,0.035298973,22
