
compise peter pete,0,0
reed thomas tom,0.13982970718220716,457
sarboe philip j phil,0,0
smith clyde b,0,0
harris leo f deed,0,0
kiesel kevin,0.054877027678188396,1
smith william f,0,0
neale a earle greasy,0,0
easterday ea,0,0
pierce bemus,0,0
faries randolph  kempf lucien,0,0
corley david,0,0
buck hc,0,0
talley robert,0,0
corbett john j,0,0
ramsey kevin,0,0
miller mason,0.13998482729520348,454
suber donnie,0,0
carlen jim,0.14274662702340193,474
dwyer tommy,0,0
bullie lonzo,0,0
allen george h  wynne elmer,0,0
golden al,0.13998482729520348,454
scanlon ag butch,0,0
sibley jesse b,0,0
haggerty frank,0,0
elfrink wilmer d,0,0
hyde bill,0.09097197822872695,1
gary mitchell,0,0
ferguson rj,0,0
hollister charles m doc,0,0
eblen hooper,0,0
best charles m,0,0
thomas james t,0,0
urban louis j luke,0,0
smith eo,0,0
kelly victor m choctaw,0,0
lavender keith,0,0
flynn dick,0.14619328296909945,3
george lt alonzo p,0,0
maack herb,0,0
justice charlie m charles,0,0
morris coach,0,0
fuller ra,0,0
cole jim,0.35905532009966074,1
campbell coach,0,0
johnston hh,0,0
king emmett o,0,0
walker dewayne,0.13998482729520348,454
wills ernest c,0,0
johnston william e  kristler erle,0,0
foley ed,0.11240059008394893,1
rockwell dean,0,0
walker curtis,0,0
brady pt,0,0
ball jack,0,0
mcfarland robert,0.08704372713635171,1
kelly raymond,0,0
difrancesca vince,0,0
martynuska art,0,0
mcclady jesse,0,0
mann oliver d,0,0
grady dennis h,0,0
evans melbourne bob,0,0
working mike,0,0
woods chris,0,0
unger george,0,0
potter ab,0,0
crowley charles f,0,0
mancha vaughn,0,0
pheiffer walter  rankin bob,0,0
veidt tyson,0,0
nugent thomas n tom,0.03959761563978051,1
gallagher peter,0,0
honaker sam,0,0
stallings george,0,0
mariani fred,0,0
keith floyd,0.13998482729520348,454
simmons fm,0,0
canales mike,0.13998482729520348,454
guarnaccia samuel,0,0
bedenk f joseph joe,0,0
cook ronald,0,0
morrison edward,0,0
reilly carroll mike,0,0
ross patrick,0,0
gill james,0,0
canine henry,0,0
mccoy clyde,0,0
burleson jesse,0,0
finley ron,0,0
bliss laurence t,0,0
banks oree,0,0
costen sam c,0,0
gilchrist ep,0,0
mullenix hp,0,0
lord robert c bob,0,0
mchugh joe,0,0
beckman tim,0.13998482729520348,454
blake frank,0,0
keller arthur t art,0,0
quinn marty,0,0
miller blake,0,0
price edwin b ed,0,0
hochtritt dave,0,0
calvin james powell,0,0
williams clyde,0,0
phelps charles g,0,0
austin kent,0.1058361058845424,6
karras jr ted,0.008378843729430468,1
doolittle william,0,0
hanna ray,0,0
coleman joseph t,0,0
cooper bernard,0,0
kelley thomas,0,0
barron irving j,0,0
mcleod ew,0,0
gibson vance,-0.001963441299174779,1
hunt io,0,0
ewing manford,0,0
rison mose,0.12981723322695152,1
wright felton t,0,0
osborne bruce,0,0
begala joe,0,0
taynor david,0,0
king dewayne dewey,0,0
clark cd,0,0
hollingsworth brooks,0,0
elliott chalmers bump,0.1409443325772933,461
cohen dave,0.14918036738343832,2
mcdermott frank,0,0
harris jr homer e,0,0
horton jeff,0.09026735207415493,3
hunstock bill,0,0
harlan geoff,0,0
germaine thomas l st,0,0
jacobs sticky,0,0
ludwig j ellwood,0,0
ayers mike,0.10987909206820257,2
stangel oa,0,0
elmer dan,0,0
martin daniel s,0,0
miller ca,0,0
spiegel john e,0,0
hunt joel,0,0
woodworth wade red,0,0
fish jh,0,0
dee h paul,0,0
firth charles,0,0
taylor randolph,0,0
anderson gary,0.13998482729520348,454
park loyal k,0,0
jones gomer,0.14029239223092194,456
jauron bob,0,0
ricca bob,0,0
fish brian,0,0
mooradian andy,0,0
sparks ken,0.13998482729520348,454
gill coach,0,0
mcnally james,0,0
cubbage ben c,0,0
devlin arthur,0,0
samuels sb sammy,0,0
hickson frank,0.6119823704645582,1
allen lamar buddy,0,0
cassell elvin j,0,0
arruza pedro,0,0
farley bo,0,0
heaton marty,0,0
smith larry,0.13998482729520348,454
donnelly mike,0,0
morris ln,0,0
utley phil,0,0
hehman eric,0,0
mccarty tim,0,0
basil richard,0,0
wilson hugh e,0,0
cubbon edward h,0,0
beck tom,0,0
klaiman marc,0,0
