"num_seasons","school","source","target","weight"
"3","wisconsin","3097","96","0.04918032786885246"
"1","arizona","3097","3894","0.01639344262295082"
"11","washington","2553","3149","0.55"
"3","missouri","2553","5859","0.15"
"3","auburn","527","287","0.15"
"9","auburn","527","1773","0.45"
"2","arizona","895","6067","0.03333333333333333"
"1","north texas","895","895","0.016666666666666666"
"3","north texas","895","4082","0.05"
"1","brigham young","895","1814","0.016666666666666666"
"5","south florida","895","3681","0.08333333333333333"
"1","clark atlanta ga","6284","4407","0.04"
"1","clark atlanta ga","6284","1343","0.04"
"1","texas tech","1971","1626","0.012658227848101266"
"2","mississippi state","1971","1352","0.02531645569620253"
"3","arkansas","1971","2086","0.0379746835443038"
"1","mississippi state","1971","5728","0.012658227848101266"
"5","mississippi state","1971","4536","0.06329113924050633"
"2","alabama","1971","2795","0.02531645569620253"
"2","howard payne","1938","5215","0.16666666666666666"
"1","east carolina","6372","2960","0.1"
"1","texas a&m","1670","3551","0.0196078431372549"
"4","washington","1670","6116","0.0784313725490196"
"1","kentucky","1670","6432","0.0196078431372549"
"1","akron","1670","3642","0.0196078431372549"
"10","boston college","6172","477","0.30303030303030304"
"1","northeastern","6172","2214","0.030303030303030304"
"1","rhode island","6172","3352","0.030303030303030304"
"8","colorado","1617","4088","0.3333333333333333"
"3","eastern michigan","1617","6055","0.125"
"2","georgia","1662","1665","0.08695652173913043"
"3","mississippi state","1662","6542","0.13043478260869565"
"2","virginia","5106","2486","0.11764705882352941"
"1","rutgers","5106","2056","0.058823529411764705"
"4","amherst","3339","4789","0.19047619047619047"
"1","gardner-webb","3277","4883","0.045454545454545456"
"2","georgia","3277","1653","0.09090909090909091"
"1","navy","483","1027","0.011904761904761904"
"1","virginia tech","483","1662","0.011904761904761904"
"2","colgate","483","6162","0.023809523809523808"
"4","minnesota","483","2509","0.047619047619047616"
"3","allegheny","483","6319","0.03571428571428571"
"5","colgate","483","1743","0.05952380952380952"
"7","notre dame","5343","2959","0.21212121212121213"
"4","vanderbilt","5343","3884","0.12121212121212122"
"1","eastern kentucky","5343","3428","0.030303030303030304"
"6","east stroudsburg","1676","5231","0.2608695652173913"
"7","miami oh","7000","5586","0.22580645161290322"
"2","arizona","7000","6333","0.06451612903225806"
"9","ohio","1854","2815","1.0"
"7","iowa","4876","2170","0.3333333333333333"
"7","iowa","4876","5900","0.3333333333333333"
"1","arizona","3352","5859","0.043478260869565216"
"15","miami oh","3352","3926","0.6521739130434783"
"3","georgia southern","4651","6076","0.2727272727272727"
"1","stanford","6814","6560","0.03333333333333333"
"1","stanford","6814","6243","0.03333333333333333"
"1","michigan state","6060","1462","0.05"
"1","western michigan","5674","1384","0.014492753623188406"
"1","michigan","5674","5390","0.014492753623188406"
"1","indiana","5674","3926","0.014492753623188406"
"1","stanford","5674","2597","0.014492753623188406"
"3","syracuse","5674","3962","0.043478260869565216"
"3","northern illinois","5674","4699","0.043478260869565216"
"7","montana","4980","5206","0.875"
"3","toledo","4918","5505","0.075"
"1","notre dame","4918","1471","0.025"
"2","toledo","4918","5017","0.05"
"3","miami oh","4918","5432","0.075"
"2","kean","2236","1137","0.13333333333333333"
"1","air force","2486","4833","0.02857142857142857"
"2","north carolina","2486","1593","0.05714285714285714"
"2","georgia tech","2486","3229","0.05714285714285714"
"1","new mexico","1589","3789","0.013513513513513514"
"1","texas a&m","1589","5728","0.013513513513513514"
"1","utah st.","1589","2510","0.013513513513513514"
"1","southern methodist","1589","998","0.013513513513513514"
"2","memphis tn","1589","235","0.02702702702702703"
"2","memphis tn","1589","2174","0.02702702702702703"
"3","eastern illinois","6176","4416","0.12"
"1","new mexico","6176","5137","0.04"
"1","oklahoma st.","2510","1150","0.017543859649122806"
"1","oklahoma st.","2510","3276","0.017543859649122806"
"1","louisville","2510","1876","0.017543859649122806"
"3","arizona st.","2510","3530","0.05263157894736842"
"1","oklahoma st.","2510","6522","0.017543859649122806"
"3","cincinnati","6096","3253","0.06976744186046512"
"1","michigan","6096","1876","0.023255813953488372"
"1","north carolina","6096","1376","0.023255813953488372"
"1","colorado","6096","3926","0.023255813953488372"
"5","south carolina st.","1496","3176","0.29411764705882354"
"5","cincinnati","6358","1449","0.0641025641025641"
"5","youngstown state","6358","6360","0.0641025641025641"
"1","miami oh","6358","6849","0.01282051282051282"
"2","cincinnati","6358","477","0.02564102564102564"
"2","michigan state","6358","6620","0.02564102564102564"
"1","boston college","6358","4720","0.01282051282051282"
"1","ball st.","6358","2911","0.01282051282051282"
"1","gardner-webb","3900","4883","0.08333333333333333"
"2","louisiana tech","5925","1663","0.027777777777777776"
"1","georgia","5925","1665","0.013888888888888888"
"3","presbyterian","5925","1590","0.041666666666666664"
"1","presbyterian","5925","4651","0.013888888888888888"
"2","louisiana tech","5925","1776","0.027777777777777776"
"4","georgia southern","5925","6076","0.05555555555555555"
"1","maryland","1373","1805","0.011764705882352941"
"1","oregon","1373","419","0.011764705882352941"
"1","brigham young","1373","1814","0.011764705882352941"
"1","georgia tech","1373","4747","0.011764705882352941"
"1","western illinois","1373","1302","0.011764705882352941"
"2","new hampshire","1373","601","0.023529411764705882"
"3","lsu","1373","4342","0.03529411764705882"
"1","ole miss","6692","5810","0.02"
"1","southern miss","6692","3208","0.02"
"1","south carolina","6692","6930","0.02"
"1","tennessee","6692","2183","0.02"
"3","georgia southern","2227","6076","0.2727272727272727"
"7","western kentucky","2597","2596","0.5384615384615384"
"1","utah","1886","6752","0.024390243902439025"
"1","idaho","1886","6375","0.024390243902439025"
"1","utah","1886","1050","0.024390243902439025"
"3","kansas wesleyan","5441","1431","0.2727272727272727"
"3","temple","1043","460","0.08108108108108109"
"3","bowling green","1043","4621","0.08108108108108109"
"3","arizona st.","1043","5395","0.08108108108108109"
"3","eastern washington","254","6961","0.3"
"1","indiana","5758","1268","0.1111111111111111"
"1","lsu","6783","2030","0.02"
"2","michigan state","6783","6620","0.04"
"3","michigan state","6783","6355","0.06"
"3","alabama","6783","4158","0.06"
"1","new mexico","6669","255","0.023255813953488372"
"1","navy","6669","3037","0.023255813953488372"
"3","navy","6669","6626","0.06976744186046512"
"5","montana","2353","1660","0.38461538461538464"
