Id,PageRank,CoachName
5457,0.001154173,royal darrell
5053,0.001153443,pont john
1398,0.001153396,curci fran
1519,0.001151409,debesse bob
3931,0.001148619,maloney frank
3448,0.001142512,kincaid al
2399,0.001142028,gottfried mike
2437,0.001140298,green dennis
5778,0.001138969,simon matt
2517,0.001137474,hackett paul
6343,0.001136452,torbush carl
514,0.001131998,blackman robert l bob
5929,0.001119327,spaziani frank
1024,0.001113972,chaney jim
659,0.001112748,brewer billy
6319,0.001111231,timer sam t
303,0.001103625,barnett gary
2869,0.0011011,hilles jim
3436,0.001095536,kill jerry
6054,0.001091353,stobart charles r chuck
2051,0.001082552,fleming jim
4789,0.001081427,ostendarp james e jim
231,0.001081088,bagnoli al
2179,0.001075706,fuller leon
4883,0.001072603,patton steve
3736,0.001070884,lewis bill
6830,0.001065476,willis rick
2614,0.001062138,harkema jim
5540,0.001060526,satterfield jimmy
3228,0.001060404,johnson mike
1050,0.001055668,christensen dave
1104,0.001055067,clawson dave
4082,0.001053592,mccarney dan
5322,0.001052568,riley mike
634,0.001047422,brakefield jim
1010,0.001042905,cervino john
287,0.001040911,barfield doug
1481,0.001033358,davis greg
6497,0.001030944,wacker jim
5633,0.001023946,scott brad
895,0.001022764,canales mike
624,0.001021122,bradley tom
1937,0.0010205,fambrough don
6618,0.00102017,watson shawn
5194,0.001019147,rasnick rick
1179,0.001015065,collins bobby
5617,0.001012525,schudel paul
870,0.001011368,callaway neil
3750,0.001009129,lichtenberg tom
6570,0.001007798,wannstedt dave
4536,0.001007149,mullen dan
3839,0.001005233,lubick sonny
3157,0.001004917,jamieson dick
4022,0.001004861,mather charles v chuck
2030,0.00100431,fisher jimbo
6448,0.001001233,vanderlinden ron
6620,9.93E-04,watts morris
5099,9.93E-04,price mike
5911,9.92E-04,solich frank
7036,9.84E-04,zook ron
1415,9.83E-04,cutchin phil
6980,9.83E-04,yeoman bill
3271,9.80E-04,jones larry
1045,9.68E-04,chizik gene
6827,9.66E-04,willingham tyrone ty
460,9.65E-04,berndt jerry
